OBJECTID_1,NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,IKRAFTDATF,URSGALLDAT,SENGALLDAT,TILLSYNSMH,PROVNMHDIS,PROVNMHTIL,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND,Shape_Leng,Shape_Le_1,OBJECTID,Shape_Le_2,MERGE_SRC,Shape_Length,Shape_Area
422, ,Ålarve,SCI, ,,,,2005-01-01 0:00:00, , , ,Gotlands län,Gotland, , ,175.3,0,0,0, , , , ,5909.883676,0, ,5909.883676,MPAs_Sverige_Okt_2023,5909.883676,1752668.89
423, ,Åsvikelandet-Kvädö,SCI, ,,,,2005-01-01 0:00:00, , , ,Östergötlands län,Valdemarsvik, , ,6279.1,0,0,0, , , , ,67369.60411,0, ,67369.60411,MPAs_Sverige_Okt_2023,67369.60411,62791301.44
424, ,Ödsmåls Kile,SCI, ,,,,2004-12-01 0:00:00, , , ,Västra Götalands län,Kungälv, , ,237.4,0,0,0, , , , ,7679.596308,0, ,7679.596308,MPAs_Sverige_Okt_2023,7679.596308,2374307.101
425, ,Örarevet,SCI, ,,,,2005-01-01 0:00:00, , , ,Kalmar län,Torsås, , ,164,0,0,0, , , , ,8105.620794,0, ,8105.620794,MPAs_Sverige_Okt_2023,8105.620794,1639797.839
426, ,Örskär,SCI, ,,,,2005-01-01 0:00:00, , , ,Uppsala län,Östhammar, , ,474.6,0,0,0, , , , ,11867.17407,0, ,11867.17407,MPAs_Sverige_Okt_2023,11867.17407,4746257.652
427, ,Örö Sankor,SCI, ,,,,2005-01-01 0:00:00, , , ,Kalmar län,Oskarshamn, , ,1076.7,0,0,0, , , , ,13762.37546,0, ,13762.37546,MPAs_Sverige_Okt_2023,13762.37546,10766807.12
428, ,Östra Hammaren-Käringören,SCI, ,,,,2004-12-01 0:00:00, , , ,Skåne län,Kristianstad, , ,387.2,0,0,0, , , , ,11928.68596,0, ,11928.68596,MPAs_Sverige_Okt_2023,11928.68596,3872431.63
429,2050202,Fjärdingsöarnas naturreservat,Naturreservat,Gällande,2019-12-11 0:00:00,,2020-01-03 0:00:00,2020-01-03 0:00:00, , , ,Västernorrlands Län,Kramfors,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Västernorrlands län,706.01,111.21,594.73,44.32,Ospecificerad,511-3002-2018,Miljöbalken,Länsstyrelse,10720.47875,0, ,10720.47875,MPAs_Sverige_Okt_2023,10720.47875,7060118.094
430,2054521,Ronneby blåmusselbankar,Naturreservat,Gällande,2020-12-17 0:00:00,,2021-02-11 0:00:00,2021-02-11 0:00:00, , , ,Blekinge Län,"Karlskrona, Ronneby","Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Blekinge län,14179.64,5.11,14174.26,0,Ospecificerad,511-3088-2020,Miljöbalken,Länsstyrelse,0,79503.31335, ,79503.31335,MPAs_Sverige_Okt_2023,79503.31335,141796424.7
431,2053081,Häcksören,Naturreservat,Gällande,2021-12-13 0:00:00,,2022-07-21 0:00:00,2022-07-21 0:00:00, , , ,Uppsala Län,Älvkarleby,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Uppsala län,76.02,44.53,31.59,36.58,Ospecificerad,511-1429-2017,Miljöbalken,Länsstyrelse,0,3952.0484, ,3952.0484,MPAs_Sverige_Okt_2023,3952.0484,760210.852
