OBJECTID_1,NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,IKRAFTDATF,URSGALLDAT,SENGALLDAT,TILLSYNSMH,PROVNMHDIS,PROVNMHTIL,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND,Shape_Leng,Shape_Le_1,OBJECTID,Shape_Le_2,MERGE_SRC,Shape_Length,Shape_Area
72,2001855,Kronören,Naturreservat,Gällande,1975-02-20 0:00:00,,1975-03-21 0:00:00,2002-11-02 0:00:00, , , ,Västerbottens Län,Nordmaling,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Västerbottens län,5796.37,1258.15,4538.161,920.875,Slutligt inmätt,"231-14147-2002 / Ej ärende, bara kvalitetsförbättr",Miljöbalken,Länsstyrelse,50162.95513,0, ,50162.95513,MPAs_Sverige_Okt_2023,50162.95513,57963655.27
73,2000443,Salvorev-Kopparstenarna,Naturreservat,Gällande,1987-10-26 0:00:00,,1988-08-25 0:00:00,1988-08-25 0:00:00, , , ,Gotlands Län,Gotland,"Ib, Vildmarksområde (Wilderness Area)",Länsstyrelsen i Gotlands län,56030.81,16.68,56013.899,0,Justerad mot fastighetskarta,11.1211-102-81 Rrl97,Naturvårdslagen,Länsstyrelse,236272.2902,0, ,236272.2902,MPAs_Sverige_Okt_2023,236272.2902,560308131.8
74,2000585,Saltö,Naturreservat,Gällande,1966-07-20 0:00:00,,1966-08-10 0:00:00,2012-11-08 0:00:00, , , ,Västra Götalands Län,Strömstad,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Västra Götalands län,394.63,195.37,199.244,106.975,Slutligt inmätt,511-004356-2010,Miljöbalken,Länsstyrelse,16407.54107,0, ,16407.54107,MPAs_Sverige_Okt_2023,16407.54107,3946307.947
75,2049263,Flädierev,Naturreservat,Gällande,2018-12-13 0:00:00,,2019-01-13 0:00:00,2019-01-13 0:00:00, , , ,Skåne Län,Lomma,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Lomma kommun,180.37,0.05,180.31,0,Ospecificerad,511-12287-2018,Miljöbalken,Kommun,6282.796194,0, ,6282.796194,MPAs_Sverige_Okt_2023,6282.796194,1803654.533
76,2014914,Kosterhavets nationalpark,Nationalpark,Gällande,2009-06-17 0:00:00,,2009-09-01 0:00:00,2009-09-01 0:00:00, , , ,Västra Götalands Län,"Strömstad, Tanum","II, Nationalpark (National Park)",Länsstyrelsen i Västra Götalands län,38823.86,869.65,37953.998,72.417,Ospecificerad,2008/09:98,Miljöbalken,Riksdag/Regering,207262.8617,0, ,207262.8617,MPAs_Sverige_Okt_2023,207262.8617,388238584.1
77,2030290,Norra Tjusts skärgård,Naturreservat,Gällande,2010-02-11 0:00:00,,2012-03-01 0:00:00,2012-03-01 0:00:00, , , ,Kalmar Län,Västervik,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Kalmar län,2387.43,222.1,2165.293,21.489,Ospecificerad,511-9094-08,Miljöbalken,Länsstyrelse,34869.97111,0, ,34869.97111,MPAs_Sverige_Okt_2023,34869.97111,23874316.33
78,2000784,Ödsmåls kile,Naturreservat,Gällande,1974-01-28 0:00:00,,1974-02-11 0:00:00,2009-11-20 0:00:00, , , ,Västra Götalands Län,Kungälv,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Västkuststiftelsen,237.47,58.61,178.857,0.359,Justerad mot fastighetskarta,511-46588-2006,Miljöbalken,Länsstyrelse,7685.203826,0, ,7685.203826,MPAs_Sverige_Okt_2023,7685.203826,2374692.922
79,2000072,Utklippan,Naturreservat,Gällande,1988-03-07 0:00:00,,1989-02-23 0:00:00,2019-01-03 0:00:00, , , ,Blekinge Län,Karlskrona,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Blekinge län,5168.06,11.99,5156.038,0,Ospecificerad,511-2361-2018,Miljöbalken,Länsstyrelse,29462.64999,0, ,29462.64999,MPAs_Sverige_Okt_2023,29462.64999,51680570.29
80,2048580,Vikasgrunden,Naturreservat,Gällande,2018-12-06 0:00:00,,2019-01-07 0:00:00,2019-01-07 0:00:00, , , ,Östergötlands Län,Valdemarsvik,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Östergötlands län,2201.18,2201.16,0,0,Ospecificerad,517-12080-17,Miljöbalken,Länsstyrelse,18982.05021,0, ,18982.05021,MPAs_Sverige_Okt_2023,18982.05021,22011789.74
81,2014954,Strandskogen,Naturreservat,Gällande,2009-10-26 0:00:00,,2009-11-28 0:00:00,2009-11-28 0:00:00, , , ,Kalmar Län,Borgholm,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Kalmar län,158.17,118.9,39.261,108.477,Slutligt inmätt,231-1923-05,Miljöbalken,Länsstyrelse,7167.217715,0, ,7167.217715,MPAs_Sverige_Okt_2023,7167.217715,1581664.096
82,2014991,Väderöarna,Naturreservat,Gällande,2011-05-31 0:00:00,,2011-07-05 0:00:00,2011-07-05 0:00:00, , , ,Västra Götalands Län,Tanum,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Västra Götalands län,18274.29,179.64,18094.583,0,Slutligt inmätt,511-1241-2009,Miljöbalken,Länsstyrelse,65090.52623,0, ,65090.52623,MPAs_Sverige_Okt_2023,65090.52623,182742849.5
83,2027150,Foteviksområdet,Naturreservat,Gällande,2011-05-19 0:00:00,,2013-03-21 0:00:00,2013-03-21 0:00:00, , , ,Skåne Län,"Malmö, Vellinge","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Skåne län,2645.95,699.71,1946.212,0.23,Ospecificerad,"511-50799-06, 511-1718-11",Miljöbalken,Länsstyrelse,30779.68279,0, ,30779.68279,MPAs_Sverige_Okt_2023,30779.68279,26459542.98
84,2002542,Slätön-Medholma,Naturreservat,Gällande,1970-12-04 0:00:00,,1970-12-04 0:00:00,2019-01-18 0:00:00, , , ,Uppsala Län,Östhammar,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Uppsala län,1847.7,382.45,1465.233,345.843,Ospecificerad,511-5310-12,Miljöbalken,Länsstyrelse,21119.67287,0, ,21119.67287,MPAs_Sverige_Okt_2023,21119.67287,18476996.57
85,2044592,Sillnäs,Naturreservat,Gällande,2015-11-25 0:00:00,,2015-12-25 0:00:00,2015-12-25 0:00:00, , , ,Blekinge Län,Sölvesborg,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Blekinge län,116.87,45.34,71.523,25.316,Slutligt inmätt,511-1047-2013,Miljöbalken,Länsstyrelse,4510.65008,0, ,4510.65008,MPAs_Sverige_Okt_2023,4510.65008,1168676.821
86,2001167,Vitörarna,Naturreservat,Gällande,1978-03-13 0:00:00,,1978-04-10 0:00:00,2017-06-03 0:00:00, , , ,Gävleborgs Län,Nordanstig,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Gävleborgs län,180.65,54.42,126.22,13.128,Ospecificerad,511-6562-11,Miljöbalken,Länsstyrelse,6533.643027,0, ,6533.643027,MPAs_Sverige_Okt_2023,6533.643027,1806506.97
87,2014211,Ålö-Rånö,Naturreservat,Gällande,2008-05-16 0:00:00,,2008-06-19 0:00:00,2008-06-19 0:00:00, , , ,Stockholms Län,Haninge,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Skärgårdsstiftelsen i Stockholms län,2828.7,1064.7,1763.976,632.591,Delvis inmätt,511-2006-87655,Miljöbalken,Länsstyrelse,29945.91008,0, ,29945.91008,MPAs_Sverige_Okt_2023,29945.91008,28287008.19
88,2001950,Gullmarn,Naturvårdsområde,Gällande,1983-03-21 0:00:00,,1984-03-22 0:00:00,2001-03-22 0:00:00, , , ,Västra Götalands Län,"Lysekil, Munkedal, Orust, Uddevalla","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Västkuststiftelsen,16358,4612.81,11744.847,2445.92,Justerad mot fastighetskarta,"231-7316-2000, doss nr 1485-2206",Naturvårdslagen,Länsstyrelse,347994.6511,0, ,347994.6511,MPAs_Sverige_Okt_2023,347994.6511,163580009.5
89,2002249,Segersgärde,Naturreservat,Gällande,1965-07-15 0:00:00,,1965-07-15 0:00:00,2013-05-11 0:00:00, , , ,Kalmar Län,Västervik,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Kalmar län,547.44,222.13,325.295,129.309,Slutligt inmätt,511-2771-11,Miljöbalken,Länsstyrelse,14991.03396,0, ,14991.03396,MPAs_Sverige_Okt_2023,14991.03396,5474373.698
90,2001734,S:t Anna,Naturreservat,Gällande,1967-04-24 0:00:00,,1967-04-24 0:00:00,2019-01-13 0:00:00, , , ,Östergötlands Län,Söderköping,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Östergötlands län,7366.78,92.66,7274.067,7.655,Ospecificerad,511-10662-14,Miljöbalken,Länsstyrelse,53550.11277,0, ,53550.11277,MPAs_Sverige_Okt_2023,53550.11277,73667768.47
91,2014480,Storjungfrun,Naturreservat,Gällande,2014-09-29 0:00:00,,2015-07-06 0:00:00,2015-07-06 0:00:00, , , ,Gävleborgs Län,Söderhamn,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Söderhamns kommun,1279.82,338.55,941.252,284.45,Ospecificerad,511-8010-11,Miljöbalken,Kommun,15023.10456,0, ,15023.10456,MPAs_Sverige_Okt_2023,15023.10456,12798167.16
92,2002408,Billudden,Naturreservat,Gällande,1979-09-26 0:00:00,,1979-09-26 0:00:00,2019-11-08 0:00:00, , , ,Uppsala Län,"Gävle, Älvkarleby","Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Uppsala län,1904.52,217.21,1687.285,155.218,Slutligt inmätt,"511-1775-2017 (Uppsala), 511-2311-19 (Gävleborg)",Miljöbalken,Länsstyrelse,26528.26073,0, ,26528.26073,MPAs_Sverige_Okt_2023,26528.26073,19045208.21
93,2030989,Grollegrund,Naturreservat,Gällande,2012-06-11 0:00:00,,2012-09-28 0:00:00,2012-09-28 0:00:00, , , ,Skåne Län,Helsingborg,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Helsingborgs kommun,1580.66,2.52,1578.121,0,Ospecificerad,511-1486-10,Miljöbalken,Kommun,19771.47844,0, ,19771.47844,MPAs_Sverige_Okt_2023,19771.47844,15806618.6
94,2002241,Rågö,Naturreservat,Gällande,1980-02-11 0:00:00,,1980-03-14 0:00:00,2013-05-11 0:00:00, , , ,Kalmar Län,Västervik,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Kalmar län,874.99,246.75,628.229,192.278,Ospecificerad,511-2770-11P,Miljöbalken,Länsstyrelse,16288.17533,0, ,16288.17533,MPAs_Sverige_Okt_2023,16288.17533,8749921.489
95,2002911,Nordre älvs estuarium,Naturreservat,Gällande,2002-04-12 0:00:00,,2002-05-11 0:00:00,2005-12-20 0:00:00, , , ,Västra Götalands Län,"Göteborg, Kungälv, Öckerö","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Västkuststiftelsen,7035.19,1436.65,5598.473,163.827,Slutligt inmätt,511-68074-2003,Miljöbalken,Länsstyrelse,65213.04981,0, ,65213.04981,MPAs_Sverige_Okt_2023,65213.04981,70351877.86
96,2000846,Arholma-Idö,Naturreservat,Gällande,1978-02-07 0:00:00,,1978-03-07 0:00:00,2015-04-23 0:00:00, , , ,Stockholms Län,Norrtälje,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Skärgårdsstiftelsen i Stockholms län,1866.71,538.54,1328.12,370.247,Justerad mot fastighetskarta,511-25007-2012,Miljöbalken,Länsstyrelse,54963.37943,0, ,54963.37943,MPAs_Sverige_Okt_2023,54963.37943,18667119.37
97,2001932,Hartsö,Naturreservat,Gällande,1981-11-11 0:00:00,,1982-01-30 0:00:00,2021-01-13 0:00:00, , , ,Södermanlands Län,"Nyköping, Trosa","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Södermanlands län,5535.23,621.06,4914.31,207.52,Ospecificerad,511-4558-2019,Miljöbalken,Länsstyrelse,32118.76419,0, ,32118.76419,MPAs_Sverige_Okt_2023,32118.76419,55352291.35
98,2053363,Öster-Mörtarö,Naturreservat,Gällande,2020-12-07 0:00:00,,2021-01-01 0:00:00,2021-01-01 0:00:00, , , ,Uppsala Län,Östhammar,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Uppsala län,32.98,29.03,3.95,22.98,Ospecificerad,511-7958-2018,Miljöbalken,Länsstyrelse,5513.732749,0, ,5513.732749,MPAs_Sverige_Okt_2023,5513.732749,329778.8217
99,2002199,Svenska Högarna,Naturreservat,Gällande,1976-11-12 0:00:00,,1976-12-10 0:00:00,2020-04-23 0:00:00, , , ,Stockholms Län,Norrtälje,"Ib, Vildmarksområde (Wilderness Area)",Länsstyrelsen i Stockholms län,60971.3,107.34,60863.93,0.13,Ospecificerad,511-20689-2016,Miljöbalken,Länsstyrelse,114646.0125,0, ,114646.0125,MPAs_Sverige_Okt_2023,114646.0125,609713034.6
100,2002528,Ängskär,Naturreservat,Gällande,1985-05-24 0:00:00,,1985-07-26 0:00:00,2021-01-09 0:00:00, , , ,Uppsala Län,Tierp,"Ia, Strikt naturreservat (Strict Nature Reserve)",Upplandsstiftelsen,328.94,111.78,216.94,72.38,Ospecificerad,511-0141-20,Miljöbalken,Länsstyrelse,12694.78224,0, ,12694.78224,MPAs_Sverige_Okt_2023,12694.78224,3289393.522
101,2046153,Slite skärgård,Naturreservat,Gällande,2016-11-25 0:00:00,,2021-06-17 0:00:00,2021-06-17 0:00:00, , , ,Gotlands Län,Gotland,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Gotlands län,6322.8,368.09,5954.52,7.89,Ospecificerad,511-1079-11,Miljöbalken,Länsstyrelse,58758.76375,0, ,58758.76375,MPAs_Sverige_Okt_2023,58758.76375,63227958.11
102,2051741,Skånska Kattegatt,Naturreservat,Gällande,2020-06-17 0:00:00,,2020-07-18 0:00:00,2020-07-18 0:00:00, , , ,Skåne Län,"Båstad, Höganäs","Ib, Vildmarksområde (Wilderness Area)",Länsstyrelsen i Skåne län,58596.08,0,58487.8,0,Ospecificerad,511-5924-2017,Miljöbalken,Länsstyrelse,120937.6901,0, ,120937.6901,MPAs_Sverige_Okt_2023,120937.6901,585960785.6
103,2044809,Stora Amundö och Billdals skärgård,Naturreservat,Gällande,2018-02-06 0:00:00,,2020-10-08 0:00:00,2020-10-08 0:00:00, , , ,Västra Götalands Län,Göteborg,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Göteborgs kommun,1103.08,259.3,843.86,32.13,Ospecificerad,511-1123-2017,Miljöbalken,Kommun,20639.883,0, ,20639.883,MPAs_Sverige_Okt_2023,20639.883,11030798.44
104,2053024,Ottenby rev,Naturreservat,Gällande,2020-03-26 0:00:00,,2020-04-25 0:00:00,2020-04-25 0:00:00, , , ,Kalmar Län,Mörbylånga,"Ib, Vildmarksområde (Wilderness Area)",Länsstyrelsen i Kalmar län,12766.1,28.82,12737.23,0,Ospecificerad,511-1804-18,Miljöbalken,Länsstyrelse,61307.2217,0, ,61307.2217,MPAs_Sverige_Okt_2023,61307.2217,127660969.2
105,2001729,Svensksundsviken,Naturreservat,Gällande,1981-12-18 0:00:00,,1983-02-03 0:00:00,2015-02-16 0:00:00, , , ,Östergötlands Län,Norrköping,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Östergötlands län,1973.55,675.53,1298.01,149.17,Slutligt inmätt,511-7904-12,Miljöbalken,Länsstyrelse,26377.4397,0, ,26377.4397,MPAs_Sverige_Okt_2023,26377.4397,19735510.5
106,2053401,Horsvik,Naturreservat,Gällande,2020-09-08 0:00:00,,2020-10-13 0:00:00,2020-10-13 0:00:00, , , ,Södermanlands Län,Nyköping,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Nyköpings kommun,86.98,26.3,60.58,5.59,Ospecificerad,KK20/383,Miljöbalken,Kommun,4049.037255,0, ,4049.037255,MPAs_Sverige_Okt_2023,4049.037255,869789.8679
108,2041972,Hjältö leror,Övrigt biotopskyddsområde,Gällande,2021-01-25 0:00:00,,2021-02-18 0:00:00,2021-02-18 0:00:00, , , ,Västra Götalands Län,Uddevalla, ,Länsstyrelsen i Västra Götalands län,93.7,6.17,87.35,0.22,Ospecificerad,511-8218-2019,Miljöbalken,Länsstyrelse,7003.584203,0, ,7003.584203,MPAs_Sverige_Okt_2023,7003.584203,936952.7065
110,2048440,Malkvarn,Övrigt biotopskyddsområde,Gällande,2017-12-20 0:00:00,,2018-01-18 0:00:00,2018-01-18 0:00:00, , , ,Blekinge Län,Sölvesborg, ,Länsstyrelsen i Blekinge län,24.51,0.24,24.31,0,Ospecificerad,511-2895-2016,Miljöbalken,Länsstyrelse,1907.351769,0, ,1907.351769,MPAs_Sverige_Okt_2023,1907.351769,245080.0132
111,2041948,Biotopskyddsområdet Sunninge sund-Sundsvik,Övrigt biotopskyddsområde,Gällande,2016-04-18 0:00:00,,2016-05-13 0:00:00,2016-05-13 0:00:00, , , ,Västra Götalands Län,Uddevalla, ,Länsstyrelsen i Västra Götalands län,24.45,2.97,21.48,0.33,Ospecificerad,511-20538-2015,Miljöbalken,Länsstyrelse,3648.248536,0, ,3648.248536,MPAs_Sverige_Okt_2023,3648.248536,244490.7086
112, ,Gö,SCI, ,,,,2004-12-01 0:00:00, , , ,Blekinge län,Ronneby, , ,1945.3217,0,0,0, , , , ,36294.41562,0, ,36294.41562,MPAs_Sverige_Okt_2023,36294.41562,19453216.23
113, ,Hoburgs bank och Midsjöbankarna,SCI, ,,,,2017-12-01 0:00:00, , , ,Kalmar län,"Mörbylånga, Gotland", , ,1051111.2,0,0,0, , , , ,520902.8157,0, ,520902.8157,MPAs_Sverige_Okt_2023,520902.8157,10511112705
114, ,Agön-Kråkön,SCI, ,,,,2005-01-01 0:00:00, , , ,Gävleborgs län,Hudiksvall, , ,4622.3,0,0,0, , , , ,34132.95206,0, ,34132.95206,MPAs_Sverige_Okt_2023,34132.95206,46223305.92
115, ,Alsteråns vattensystem,SCI, ,,,,2005-01-01 0:00:00, , , ,Kalmar län,"Nybro, Högsby, Mönsterås", , ,2105.9,0,0,0, , , , ,360537.2296,0, ,360537.2296,MPAs_Sverige_Okt_2023,360537.2296,21059294.05
116, ,Arnö (delar av),SCI, ,,,,2005-01-01 0:00:00, , , ,Östergötlands län,Valdemarsvik, , ,132,0,0,0, , , , ,6271.732,0, ,6271.732,MPAs_Sverige_Okt_2023,6271.732,1319739.774
117, ,Arsläjan,SCI, ,,,,2005-01-01 0:00:00, , , ,Stockholms län,Norrtälje, , ,26.8,0,0,0, , , , ,3084.598731,0, ,3084.598731,MPAs_Sverige_Okt_2023,3084.598731,268167.8867
118, ,Askö,SCI, ,,,,2005-01-01 0:00:00, , , ,Södermanlands län,Trosa, , ,1526,0,0,0, , , , ,20208.93909,0, ,20208.93909,MPAs_Sverige_Okt_2023,20208.93908,15260411.23
119, ,Axmar-Gåsholma,SCI, ,,,,2005-01-01 0:00:00, , , ,Gävleborgs län,"Söderhamn, Gävle", , ,5599.6,0,0,0, , , , ,45395.18519,0, ,45395.18519,MPAs_Sverige_Okt_2023,45395.18519,55995848.23
120, ,Balgö,SCI, ,,,,2004-12-01 0:00:00, , , ,Hallands län,Varberg, , ,8008,0,0,0, , , , ,44951.53547,0, ,44951.53547,MPAs_Sverige_Okt_2023,44951.53547,80079723.57
121, ,Beijershamn och Svansholmarna,SCI, ,,,,2004-12-01 0:00:00, , , ,Kalmar län,Mörbylånga, , ,653.5,0,0,0, , , , ,11709.43078,0, ,11709.43078,MPAs_Sverige_Okt_2023,11709.43078,6534612.041
122, ,Billudden,SCI, ,,,,2005-01-01 0:00:00, , , ,Uppsala län,"Gävle, Älvkarleby", , ,1896.9,0,0,0, , , , ,26422.84281,0, ,26422.84281,MPAs_Sverige_Okt_2023,26422.84281,18968842.81
123, ,Bjuröklubb,SCI, ,,,,2005-01-01 0:00:00, , , ,Västerbottens län,Skellefteå, , ,954.8,0,0,0, , , , ,23041.00208,0, ,23041.00208,MPAs_Sverige_Okt_2023,23041.00208,9547707.239
124, ,Bjärekusten,SCI, ,,,,2004-12-01 0:00:00, , , ,Skåne län,Båstad, , ,631.2,0,0,0, , , , ,67686.03342,0, ,67686.03342,MPAs_Sverige_Okt_2023,67686.03342,6311998.969
125, ,Björkeskärven,SCI, ,,,,2004-12-01 0:00:00, , , ,Blekinge län,Ronneby, , ,40.8,0,0,0, , , , ,4224.054558,0, ,4224.054558,MPAs_Sverige_Okt_2023,4224.054558,407675.3677
126, ,Björkö,SCI, ,,,,2005-01-01 0:00:00, , , ,Kalmar län,Västervik, , ,979.4,0,0,0, , , , ,23144.92065,0, ,23144.92065,MPAs_Sverige_Okt_2023,23144.92065,9794278.231
127, ,Björns skärgård,SCI, ,,,,2005-01-01 0:00:00, , , ,Uppsala län,Tierp, , ,1120.7,0,0,0, , , , ,15073.17033,0, ,15073.17033,MPAs_Sverige_Okt_2023,15073.17033,11207111.62
128, ,Björnö,SCI, ,,,,2005-01-01 0:00:00, , , ,Kalmar län,Kalmar, , ,121.5,0,0,0, , , , ,6354.728157,0, ,6354.728157,MPAs_Sverige_Okt_2023,6354.728157,1215429.806
129, ,Blå Jungfrun,SCI, ,,,,2005-01-01 0:00:00, , , ,Kalmar län,Oskarshamn, , ,189.6,0,0,0, , , , ,5000.361098,0, ,5000.361098,MPAs_Sverige_Okt_2023,5000.361098,1895569.903
130, ,Blötö-Kidö,SCI, ,,,,2004-12-01 0:00:00, , , ,Blekinge län,Ronneby, , ,82,0,0,0, , , , ,4400.506083,0, ,4400.506083,MPAs_Sverige_Okt_2023,4400.506083,820081.4603
131, ,Bockön-Mjöön,SCI, ,,,,2004-12-01 0:00:00, , , ,Blekinge län,Karlshamn, , ,301.9,0,0,0, , , , ,7428.626299,0, ,7428.626299,MPAs_Sverige_Okt_2023,7428.626299,3019198.543
132, ,Bokö,SCI, ,,,,2005-01-01 0:00:00, , , ,Östergötlands län,Valdemarsvik, , ,415,0,0,0, , , , ,15839.3322,0, ,15839.3322,MPAs_Sverige_Okt_2023,15839.3322,4149912.827
133, ,Bokö-Oxnö,SCI, ,,,,2005-01-01 0:00:00, , , ,Södermanlands län,Trosa, , ,327.9,0,0,0, , , , ,8491.900227,0, ,8491.900227,MPAs_Sverige_Okt_2023,8491.900227,3279356.849
134, ,Bonden,SCI, ,,,,2005-01-01 0:00:00, , , ,Västerbottens län,Umeå, , ,396.1,0,0,0, , , , ,9212.312365,0, ,9212.312365,MPAs_Sverige_Okt_2023,9212.312365,3960865.859
135, ,Bondöfjärden,SCI, ,,,,2005-01-01 0:00:00, , , ,Norrbottens län,Piteå, , ,2955.8,0,0,0, , , , ,58667.89482,0, ,58667.89482,MPAs_Sverige_Okt_2023,58667.89482,29558374.61
136, ,Bratten,SCI, ,,,,2013-11-01 0:00:00, , , ,Västra Götalands län,"Tanum, Sotenäs", , ,120878.4,0,0,0, , , , ,138688.2814,0, ,138688.2814,MPAs_Sverige_Okt_2023,138688.2813,1208784367
137, ,Breviks kile-Toftenäs,SCI, ,,,,2004-12-01 0:00:00, , , ,Västra Götalands län,Tjörn, , ,774.8,0,0,0, , , , ,21145.90992,0, ,21145.90992,MPAs_Sverige_Okt_2023,21145.90992,7748191.305
138, ,Brucebo,SCI, ,,,,2005-01-01 0:00:00, , , ,Gotlands län,Gotland, , ,33.9,0,0,0, , , , ,2461.466369,0, ,2461.466369,MPAs_Sverige_Okt_2023,2461.466369,338822.1625
139, ,Bräkne-Hoby skärgård,SCI, ,,,,2004-12-01 0:00:00, , , ,Blekinge län,Ronneby, , ,214.7,0,0,0, , , , ,19149.48737,0, ,19149.48737,MPAs_Sverige_Okt_2023,19149.48737,2146600.105
140, ,Bråviken yttre,SCI, ,,,,2005-01-01 0:00:00, , , ,Östergötlands län,Norrköping, , ,8752.6,0,0,0, , , , ,49408.62295,0, ,49408.62295,MPAs_Sverige_Okt_2023,49408.62295,87525658.56
141, ,Brönsnäsviken,SCI, ,,,,2005-01-01 0:00:00, , , ,Västerbottens län,Skellefteå, , ,2.8,0,0,0, , , , ,632.4328691,0, ,632.4328691,MPAs_Sverige_Okt_2023,632.4328691,27864.73796
142, ,Bullerö-Bytta,SCI, ,,,,2005-01-01 0:00:00, , , ,Stockholms län,Värmdö, , ,14314.5,0,0,0, , , , ,67994.80092,0, ,67994.80092,MPAs_Sverige_Okt_2023,67994.80092,143144704.4
143, ,Bådan,SCI, ,,,,2005-01-01 0:00:00, , , ,Norrbottens län,Luleå, , ,1854.3,0,0,0, , , , ,22910.78364,0, ,22910.78364,MPAs_Sverige_Okt_2023,22910.78364,18542696.41
144, ,Båtöfjärden,SCI, ,,,,2005-01-01 0:00:00, , , ,Norrbottens län,Luleå, , ,930.4,0,0,0, , , , ,12436.22169,0, ,12436.22169,MPAs_Sverige_Okt_2023,12436.22169,9304085.552
145, ,Bödakustens västra,SCI, ,,,,2005-01-01 0:00:00, , , ,Kalmar län,Borgholm, , ,741.4,0,0,0, , , , ,31254.40034,0, ,31254.40034,MPAs_Sverige_Okt_2023,31254.40034,7414424.331
146, ,Bödakustens östra,SCI, ,,,,2005-01-01 0:00:00, , , ,Kalmar län,Borgholm, , ,1020.6,0,0,0, , , , ,24496.16014,0, ,24496.16014,MPAs_Sverige_Okt_2023,24496.16014,10206051.36
147, ,Eckelsudde,SCI, ,,,,2004-12-01 0:00:00, , , ,Kalmar län,Mörbylånga, , ,424.8,0,0,0, , , , ,9565.723242,0, ,9565.723242,MPAs_Sverige_Okt_2023,9565.723242,4248485.032
148, ,Edenryd,SCI, ,,,,2004-12-01 0:00:00, , , ,Skåne län,"Sölvesborg, Bromölla", , ,516.2,0,0,0, , , , ,17214.44697,0, ,17214.44697,MPAs_Sverige_Okt_2023,17214.44697,5161790.006
149, ,Egby sjömarker,SCI, ,,,,2005-01-01 0:00:00, , , ,Kalmar län,Borgholm, , ,983.4,0,0,0, , , , ,20851.19627,0, ,20851.19627,MPAs_Sverige_Okt_2023,20851.19627,9834189.315
150, ,Eggegrund och Gråsjälsbådan,SCI, ,,,,2005-01-01 0:00:00, , , ,Gävleborgs län,Gävle, , ,713.8,0,0,0, , , , ,14948.69478,0, ,14948.69478,MPAs_Sverige_Okt_2023,14948.69478,7137691.262
151, ,Elleholm,SCI, ,,,,2004-12-01 0:00:00, , , ,Blekinge län,Karlshamn, , ,231.1,0,0,0, , , , ,7644.432136,0, ,7644.432136,MPAs_Sverige_Okt_2023,7644.432136,2311227.928
152, ,Fagerön,SCI, ,,,,2005-01-01 0:00:00, , , ,Uppsala län,Östhammar, , ,506.9,0,0,0, , , , ,13034.59577,0, ,13034.59577,MPAs_Sverige_Okt_2023,13034.59577,5068884.344
153, ,Falsterbo skjutfält,SCI, ,,,,2004-12-01 0:00:00, , , ,Skåne län,Vellinge, , ,66.4,0,0,0, , , , ,3935.600288,0, ,3935.600288,MPAs_Sverige_Okt_2023,3935.600288,664262.9884
154, ,Falsterbohalvön,SCI, ,,,,2004-12-01 0:00:00, , , ,Skåne län,Vellinge, , ,42342.2,0,0,0, , , , ,131840.3398,0, ,131840.3398,MPAs_Sverige_Okt_2023,131840.3398,423421821.9
